0,1,2,3,4,5,6,7,8,9,10,11,12
899,590.47,659.29,745.64,843.19,805.18,891.79,734.06,730.5,718.04,572.1,553.65,626.26
903,368.12,444.31,519.14,607.89,594.76,688.48,577.21,573.08,480.99,406.97,437.15,431.39
955,2075,2560.8,2873.7,3398.8,3199.9,3696.2,3105.8,3030.1,2705.4,2316.5,2460.5,2410.9
986,1319.8,1039,732.54,1228.3,1147.5,1566.1,1667,1626.9,1343.7,1509.4,1490.8,1089.3
989,2191.8,1722.3,1212.8,1973.7,1875.2,2600.2,2760.8,2723.6,2290.1,2533.3,2440.3,1746.8
998,1401.4,1019.6,681.36,1165.3,1083.7,1619.6,1810.6,1642.8,1351.5,1518.6,1515.5,1140.8
999,2351.6,1662.7,1094.9,1867.2,1746.6,2719.7,3089.1,2716.1,2282.2,2526.7,2511.4,1904
1005,28891,23338,16934,27685,25685,35037,37185,36186,30570,34201,33257,23973
1067,467.89,414.15,453.49,517.22,643.65,618.65,661.14,689.62,677.35,592.47,522.97,456.9
1109,59218,53496,59283,68052,80738,77054,84027,87097,84595,73731,62935,57523
1173,606.81,556.72,607.55,714.04,818.19,777.34,870.44,886.39,870.14,775.95,619.93,606
1693,1955.7,2068.8,3741.3,4549.1,2782.3,2403.9,1177.5,1039.3,1175.6,1311.6,1543.7,2072.9
1694,1002.9,1038.8,1916.4,2266.7,1420.5,1250.7,613.61,530.7,587.17,667.83,775.83,1061.4
1698,4570.1,4816.1,8800.4,10535,6504.2,5600.3,2745.7,2423.1,2688.6,3069.4,3585.6,4849.6
1700,1895.6,2006.3,3645,4418.5,2703.6,2327.8,1139.5,1006.6,1128.6,1276.3,1499.3,2012.2
1701,2652.6,2848,5222.3,6278.6,3752.8,3265.5,1621.1,1436.9,1642.1,1829,2140.7,2872.4
1704,1747.8,1847.4,3365.8,4055,2481.6,2149.9,1055.8,930.09,1044.9,1177.3,1378.8,1858.3
1705,2160.4,2290,4146.3,5035.2,3073.7,2649,1298.1,1148.1,1294.9,1452.6,1707.9,2291.9
1707,7472.1,7955.6,14444,17629,10770,9083.6,4416.3,3943.7,4341.5,5055.7,5951.7,7915.7
1708,3505.9,3710.1,6739.5,8098.6,4980.2,4264.2,2089.1,1854.4,2059.8,2350.4,2748.3,3708.1
1712,1320.5,1395.1,2542.7,3063.6,1873.9,1626.4,798.79,702.81,790.18,889.6,1041.8,1404
1714,1020.6,1089.1,1956.1,2362.8,1453.1,1225.6,601.91,542.77,611.65,681.99,802.55,1082.5
1716,1977.8,2109,3821.1,4581.3,2816.2,2386.3,1175.4,1056.1,1186,1330.8,1560.7,2110.1
1722,870.26,938.96,1715.1,2105.3,1241.7,1086.9,538.89,475.82,555.95,605.74,716.91,949.88
1751,11058,11639,20686,25077,15550,13343,6518,5791.9,6534.9,7220.1,8479.5,11494
1753,2611.7,2740.2,5057.6,6133.8,3735.5,3311.8,1626.4,1403.2,1593.7,1781.2,2093.8,2807.5
1754,1152.1,1194.7,2204.1,2654.1,1651.3,1450.2,706.51,608.76,672.59,772.63,904.24,1220.2
1756,645.82,673.24,1220.2,1389.5,915.25,851.09,464.42,485.29,494.08,562.46,601.08,648.23
1757,702.94,727.82,1359.1,1628.3,988.29,906.67,446.21,375.44,423.98,478.56,555.85,750.68
